algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall,mean_roc_auc,mean_f1,mean_precision
NB,tc,400,"(1, 2)",clean_steeming_lemmatization,0.92,0.93,0.92,0.91,0.92
SVMR,tc,400,"(1, 2)",clean_steeming_lemmatization,0.68,0.35,0.68,0.84,0.68
SVML,tc,400,"(1, 2)",clean_steeming_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tc,400,"(1, 2)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,400,"(1, 2)",clean_steeming_lemmatization,0.93,0.86,0.93,0.97,0.93
RF,tc,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,400,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,400,"(1, 3)",clean,0.91,0.93,0.91,0.91,0.91
SVMR,tc,400,"(1, 3)",clean,0.61,0.21,0.61,0.79,0.61
SVML,tc,400,"(1, 3)",clean,0.93,0.87,0.93,0.96,0.93
LR1,tc,400,"(1, 3)",clean,0.89,0.8,0.89,0.95,0.89
LR2,tc,400,"(1, 3)",clean,0.92,0.85,0.92,0.96,0.92
RF,tc,400,"(1, 3)",clean,0.95,0.92,0.95,0.97,0.95
XGB,tc,400,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,400,"(1, 3)",clean_steeming,0.91,0.93,0.91,0.91,0.91
SVMR,tc,400,"(1, 3)",clean_steeming,0.67,0.34,0.67,0.84,0.67
SVML,tc,400,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
LR1,tc,400,"(1, 3)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,400,"(1, 3)",clean_steeming,0.93,0.86,0.93,0.97,0.93
RF,tc,400,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tc,400,"(1, 3)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,400,"(1, 3)",clean_lemmatization,0.92,0.93,0.92,0.92,0.92
SVMR,tc,400,"(1, 3)",clean_lemmatization,0.64,0.29,0.64,0.82,0.64
SVML,tc,400,"(1, 3)",clean_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tc,400,"(1, 3)",clean_lemmatization,0.89,0.8,0.89,0.95,0.89
LR2,tc,400,"(1, 3)",clean_lemmatization,0.92,0.84,0.92,0.96,0.92
RF,tc,400,"(1, 3)",clean_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tc,400,"(1, 3)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,400,"(1, 3)",clean_steeming_lemmatization,0.91,0.93,0.91,0.91,0.91
SVMR,tc,400,"(1, 3)",clean_steeming_lemmatization,0.68,0.35,0.68,0.84,0.68
SVML,tc,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.92,0.95,0.97,0.95
LR1,tc,400,"(1, 3)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,400,"(1, 3)",clean_steeming_lemmatization,0.93,0.86,0.93,0.97,0.93
RF,tc,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,400,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 1)",clean,0.94,0.97,0.94,0.92,0.94
SVMR,tc,500,"(1, 1)",clean,0.57,0.15,0.57,0.77,0.57
SVML,tc,500,"(1, 1)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tc,500,"(1, 1)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tc,500,"(1, 1)",clean,0.91,0.84,0.91,0.96,0.91
RF,tc,500,"(1, 1)",clean,0.95,0.92,0.95,0.97,0.95
XGB,tc,500,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,500,"(1, 1)",clean_steeming,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 1)",clean_steeming,0.61,0.22,0.61,0.8,0.61
SVML,tc,500,"(1, 1)",clean_steeming,0.96,0.93,0.96,0.97,0.96
LR1,tc,500,"(1, 1)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 1)",clean_steeming,0.94,0.88,0.94,0.97,0.94
RF,tc,500,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 1)",clean_lemmatization,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 1)",clean_lemmatization,0.61,0.21,0.61,0.8,0.61
SVML,tc,500,"(1, 1)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tc,500,"(1, 1)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,500,"(1, 1)",clean_lemmatization,0.92,0.85,0.92,0.96,0.92
RF,tc,500,"(1, 1)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tc,500,"(1, 1)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 1)",clean_steeming_lemmatization,0.92,0.92,0.92,0.93,0.92
SVMR,tc,500,"(1, 1)",clean_steeming_lemmatization,0.61,0.23,0.61,0.8,0.61
SVML,tc,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
LR1,tc,500,"(1, 1)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 1)",clean_steeming_lemmatization,0.93,0.87,0.93,0.97,0.93
RF,tc,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 2)",clean,0.94,0.97,0.94,0.92,0.94
SVMR,tc,500,"(1, 2)",clean,0.58,0.15,0.58,0.77,0.58
SVML,tc,500,"(1, 2)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tc,500,"(1, 2)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tc,500,"(1, 2)",clean,0.92,0.84,0.92,0.96,0.92
RF,tc,500,"(1, 2)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 2)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,500,"(1, 2)",clean_steeming,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 2)",clean_steeming,0.62,0.24,0.62,0.8,0.62
SVML,tc,500,"(1, 2)",clean_steeming,0.96,0.93,0.96,0.98,0.96
LR1,tc,500,"(1, 2)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 2)",clean_steeming,0.93,0.88,0.93,0.97,0.93
RF,tc,500,"(1, 2)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 2)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 2)",clean_lemmatization,0.92,0.92,0.92,0.93,0.92
SVMR,tc,500,"(1, 2)",clean_lemmatization,0.61,0.22,0.61,0.8,0.61
SVML,tc,500,"(1, 2)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tc,500,"(1, 2)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,500,"(1, 2)",clean_lemmatization,0.92,0.85,0.92,0.96,0.92
RF,tc,500,"(1, 2)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tc,500,"(1, 2)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 2)",clean_steeming_lemmatization,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 2)",clean_steeming_lemmatization,0.62,0.23,0.62,0.8,0.62
SVML,tc,500,"(1, 2)",clean_steeming_lemmatization,0.96,0.93,0.96,0.97,0.96
LR1,tc,500,"(1, 2)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 2)",clean_steeming_lemmatization,0.93,0.86,0.93,0.96,0.93
