algorithm,transformation,max_features,mean_balanced_accuracy,mean_recall,mean_precision,mean_f1
NB,tc,800,0.8,0.95,0.4,0.56
SVMR,tc,800,0.84,0.69,0.96,0.8
SVML,tc,800,0.93,0.88,0.92,0.89
LR1,tc,800,0.91,0.83,0.94,0.88
LR2,tc,800,0.9,0.82,0.96,0.88
RF,tc,800,0.94,0.91,0.89,0.9
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.8,0.95,0.4,0.56
SVMR,tc,800,0.84,0.69,0.96,0.8
SVML,tc,800,0.93,0.88,0.91,0.89
LR1,tc,800,0.91,0.83,0.94,0.88
LR2,tc,800,0.91,0.82,0.96,0.88
RF,tc,800,0.94,0.9,0.89,0.89
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.8,0.95,0.4,0.56
SVMR,tc,800,0.84,0.69,0.96,0.8
SVML,tc,800,0.93,0.88,0.91,0.89
LR1,tc,800,0.91,0.83,0.94,0.88
LR2,tc,800,0.91,0.82,0.96,0.88
RF,tc,800,0.94,0.91,0.89,0.9
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.85,0.93,0.5,0.65
SVMR,tc,800,0.78,0.57,0.97,0.71
SVML,tc,800,0.91,0.85,0.91,0.88
LR1,tc,800,0.91,0.83,0.95,0.89
LR2,tc,800,0.92,0.85,0.96,0.9
RF,tc,800,0.94,0.92,0.9,0.91
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.85,0.94,0.5,0.65
SVMR,tc,800,0.79,0.58,0.98,0.71
SVML,tc,800,0.92,0.86,0.91,0.88
LR1,tc,800,0.92,0.84,0.95,0.89
LR2,tc,800,0.92,0.85,0.95,0.9
RF,tc,800,0.95,0.92,0.9,0.91
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.85,0.94,0.5,0.65
SVMR,tc,800,0.78,0.57,0.97,0.71
SVML,tc,800,0.91,0.85,0.91,0.88
LR1,tc,800,0.91,0.83,0.95,0.89
LR2,tc,800,0.92,0.85,0.96,0.9
RF,tc,800,0.95,0.92,0.9,0.91
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.91,0.94,0.65,0.76
SVMR,tc,800,0.63,0.26,0.98,0.4
SVML,tc,800,0.94,0.89,0.93,0.91
LR1,tc,800,0.92,0.85,0.95,0.9
LR2,tc,800,0.94,0.88,0.97,0.92
RF,tc,800,0.96,0.94,0.91,0.92
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.9,0.94,0.63,0.75
SVMR,tc,800,0.64,0.28,0.98,0.43
SVML,tc,800,0.93,0.89,0.92,0.9
LR1,tc,800,0.92,0.85,0.95,0.9
LR2,tc,800,0.94,0.88,0.97,0.92
RF,tc,800,0.96,0.94,0.92,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.9,0.94,0.63,0.75
SVMR,tc,800,0.64,0.28,0.98,0.43
SVML,tc,800,0.93,0.88,0.93,0.9
LR1,tc,800,0.92,0.85,0.95,0.9
LR2,tc,800,0.94,0.88,0.97,0.92
RF,tc,800,0.96,0.94,0.91,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.92,0.95,0.68,0.79
SVMR,tc,800,0.6,0.19,1.0,0.31
SVML,tc,800,0.95,0.91,0.94,0.93
LR1,tc,800,0.91,0.83,0.95,0.89
LR2,tc,800,0.94,0.89,0.97,0.93
RF,tc,800,0.96,0.95,0.91,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.92,0.95,0.67,0.78
SVMR,tc,800,0.6,0.19,1.0,0.31
SVML,tc,800,0.95,0.91,0.94,0.92
LR1,tc,800,0.91,0.83,0.95,0.89
LR2,tc,800,0.94,0.88,0.97,0.92
RF,tc,800,0.96,0.95,0.93,0.94
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.92,0.95,0.67,0.78
SVMR,tc,800,0.6,0.19,1.0,0.31
SVML,tc,800,0.95,0.91,0.94,0.92
LR1,tc,800,0.91,0.83,0.95,0.89
LR2,tc,800,0.94,0.88,0.97,0.92
RF,tc,800,0.96,0.94,0.93,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.94,0.94,0.8,0.86
SVMR,tc,800,0.53,0.07,0.7,0.12
SVML,tc,800,0.95,0.91,0.96,0.93
LR1,tc,800,0.91,0.83,0.96,0.89
LR2,tc,800,0.94,0.89,0.97,0.93
RF,tc,800,0.96,0.93,0.94,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.94,0.95,0.77,0.84
SVMR,tc,800,0.53,0.07,0.7,0.12
SVML,tc,800,0.94,0.9,0.95,0.92
LR1,tc,800,0.91,0.83,0.96,0.89
LR2,tc,800,0.94,0.89,0.97,0.93
RF,tc,800,0.96,0.93,0.94,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tc,800,0.94,0.95,0.77,0.85
SVMR,tc,800,0.53,0.07,0.7,0.12
SVML,tc,800,0.95,0.91,0.95,0.93
LR1,tc,800,0.91,0.83,0.96,0.89
LR2,tc,800,0.94,0.89,0.97,0.93
RF,tc,800,0.96,0.93,0.94,0.93
XGB,tc,800,0.89,0.8,0.92,0.86
NB,tf,800,0.81,0.94,0.43,0.59
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.94,0.9,0.93,0.91
LR1,tf,800,0.92,0.84,0.94,0.89
LR2,tf,800,0.91,0.84,0.95,0.89
RF,tf,800,0.94,0.91,0.9,0.9
XGB,tf,800,0.89,0.8,0.92,0.85
NB,tf,800,0.82,0.95,0.43,0.59
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.91,0.93,0.92
LR1,tf,800,0.92,0.84,0.94,0.89
LR2,tf,800,0.91,0.84,0.95,0.89
RF,tf,800,0.94,0.91,0.89,0.9
XGB,tf,800,0.89,0.79,0.92,0.85
NB,tf,800,0.82,0.95,0.43,0.59
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.91,0.93,0.92
LR1,tf,800,0.92,0.84,0.94,0.89
LR2,tf,800,0.91,0.84,0.95,0.89
RF,tf,800,0.94,0.91,0.89,0.9
XGB,tf,800,0.89,0.79,0.92,0.85
NB,tf,800,0.86,0.93,0.52,0.67
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.94,0.91,0.93,0.92
LR1,tf,800,0.9,0.82,0.94,0.87
LR2,tf,800,0.92,0.84,0.95,0.89
RF,tf,800,0.95,0.92,0.91,0.92
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.86,0.94,0.52,0.66
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.94,0.91,0.93,0.92
LR1,tf,800,0.9,0.82,0.94,0.87
LR2,tf,800,0.91,0.84,0.95,0.89
RF,tf,800,0.95,0.92,0.91,0.91
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.86,0.94,0.52,0.67
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.91,0.93,0.92
LR1,tf,800,0.9,0.82,0.94,0.87
LR2,tf,800,0.92,0.84,0.95,0.89
RF,tf,800,0.95,0.93,0.91,0.91
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.91,0.94,0.65,0.77
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.91,0.95,0.93
LR1,tf,800,0.89,0.79,0.93,0.86
LR2,tf,800,0.91,0.82,0.97,0.88
RF,tf,800,0.96,0.94,0.91,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.91,0.94,0.64,0.76
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.96,0.93,0.95,0.93
LR1,tf,800,0.9,0.8,0.94,0.86
LR2,tf,800,0.91,0.82,0.97,0.88
RF,tf,800,0.96,0.94,0.92,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.91,0.94,0.64,0.76
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.92,0.95,0.93
LR1,tf,800,0.89,0.8,0.93,0.86
LR2,tf,800,0.9,0.82,0.96,0.88
RF,tf,800,0.96,0.94,0.92,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.92,0.95,0.68,0.79
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.96,0.93,0.95,0.94
LR1,tf,800,0.89,0.79,0.93,0.85
LR2,tf,800,0.91,0.82,0.97,0.88
RF,tf,800,0.96,0.94,0.93,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.92,0.95,0.68,0.78
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.92,0.95,0.93
LR1,tf,800,0.89,0.8,0.93,0.86
LR2,tf,800,0.91,0.83,0.97,0.89
RF,tf,800,0.96,0.94,0.93,0.94
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.92,0.95,0.68,0.78
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.95,0.91,0.95,0.93
LR1,tf,800,0.89,0.8,0.94,0.86
LR2,tf,800,0.91,0.83,0.97,0.89
RF,tf,800,0.96,0.94,0.93,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.94,0.94,0.8,0.86
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.96,0.93,0.96,0.94
LR1,tf,800,0.87,0.76,0.94,0.84
LR2,tf,800,0.9,0.8,0.97,0.87
RF,tf,800,0.96,0.94,0.94,0.94
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.94,0.95,0.77,0.85
SVMR,tf,800,0.5,0.0,0.0,0.0
