algorithm,transformation,max_features,mean_balanced_accuracy,mean_recall,mean_precision,mean_f1
SVML,tf,800,0.96,0.93,0.96,0.94
LR1,tf,800,0.88,0.78,0.94,0.85
LR2,tf,800,0.9,0.81,0.97,0.87
RF,tf,800,0.96,0.93,0.94,0.94
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tf,800,0.94,0.95,0.77,0.85
SVMR,tf,800,0.5,0.0,0.0,0.0
SVML,tf,800,0.96,0.93,0.95,0.94
LR1,tf,800,0.88,0.77,0.94,0.84
LR2,tf,800,0.9,0.81,0.97,0.87
RF,tf,800,0.96,0.93,0.94,0.93
XGB,tf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.8,0.91,0.43,0.58
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.93,0.92
LR1,tfidf,800,0.91,0.84,0.95,0.89
LR2,tfidf,800,0.91,0.82,0.95,0.88
RF,tfidf,800,0.94,0.92,0.89,0.9
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.8,0.93,0.42,0.58
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.94,0.92
LR1,tfidf,800,0.91,0.84,0.95,0.89
LR2,tfidf,800,0.91,0.83,0.95,0.88
RF,tfidf,800,0.94,0.91,0.9,0.9
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.8,0.93,0.42,0.58
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.94,0.92
LR1,tfidf,800,0.91,0.84,0.95,0.89
LR2,tfidf,800,0.91,0.83,0.95,0.88
RF,tfidf,800,0.94,0.9,0.9,0.9
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.84,0.9,0.51,0.64
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.93,0.91
LR1,tfidf,800,0.89,0.8,0.94,0.86
LR2,tfidf,800,0.91,0.82,0.96,0.88
RF,tfidf,800,0.95,0.93,0.91,0.92
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.84,0.91,0.5,0.64
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.93,0.91
LR1,tfidf,800,0.9,0.81,0.94,0.87
LR2,tfidf,800,0.91,0.82,0.95,0.88
RF,tfidf,800,0.95,0.93,0.9,0.91
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.84,0.91,0.51,0.65
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.94,0.9,0.93,0.91
LR1,tfidf,800,0.9,0.8,0.94,0.87
LR2,tfidf,800,0.91,0.83,0.96,0.88
RF,tfidf,800,0.95,0.93,0.9,0.91
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.88,0.89,0.64,0.74
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.95,0.91,0.95,0.93
LR1,tfidf,800,0.88,0.77,0.94,0.85
LR2,tfidf,800,0.91,0.82,0.98,0.89
RF,tfidf,800,0.96,0.93,0.93,0.93
XGB,tfidf,800,0.89,0.79,0.92,0.85
NB,tfidf,800,0.89,0.91,0.63,0.74
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.95,0.91,0.95,0.93
LR1,tfidf,800,0.89,0.78,0.94,0.85
LR2,tfidf,800,0.91,0.82,0.98,0.89
RF,tfidf,800,0.96,0.93,0.94,0.93
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.89,0.91,0.63,0.74
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.95,0.91,0.95,0.93
LR1,tfidf,800,0.88,0.78,0.95,0.85
LR2,tfidf,800,0.91,0.83,0.98,0.89
RF,tfidf,800,0.96,0.93,0.93,0.93
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.9,0.9,0.68,0.77
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.96,0.93,0.95,0.94
LR1,tfidf,800,0.88,0.77,0.95,0.85
LR2,tfidf,800,0.91,0.82,0.98,0.89
RF,tfidf,800,0.96,0.93,0.93,0.93
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.9,0.92,0.67,0.77
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.96,0.93,0.95,0.94
LR1,tfidf,800,0.88,0.76,0.95,0.84
LR2,tfidf,800,0.91,0.83,0.98,0.89
RF,tfidf,800,0.96,0.94,0.94,0.94
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.9,0.92,0.67,0.77
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.96,0.93,0.95,0.94
LR1,tfidf,800,0.88,0.77,0.95,0.85
LR2,tfidf,800,0.91,0.83,0.98,0.89
RF,tfidf,800,0.96,0.94,0.94,0.94
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.92,0.9,0.8,0.84
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.95,0.91,0.96,0.93
LR1,tfidf,800,0.87,0.75,0.95,0.83
LR2,tfidf,800,0.89,0.79,0.98,0.87
RF,tfidf,800,0.96,0.94,0.93,0.94
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.93,0.92,0.78,0.84
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.96,0.92,0.97,0.94
LR1,tfidf,800,0.88,0.76,0.95,0.84
LR2,tfidf,800,0.9,0.8,0.99,0.88
RF,tfidf,800,0.95,0.92,0.93,0.93
XGB,tfidf,800,0.89,0.8,0.92,0.86
NB,tfidf,800,0.93,0.92,0.78,0.84
SVMR,tfidf,800,0.5,0.0,0.0,0.0
SVML,tfidf,800,0.96,0.92,0.96,0.94
LR1,tfidf,800,0.87,0.76,0.94,0.84
LR2,tfidf,800,0.9,0.8,0.99,0.88
RF,tfidf,800,0.95,0.93,0.93,0.93
XGB,tfidf,800,0.89,0.8,0.92,0.86
