algorithm,train_data_file,mean_recall,std_recall
RF,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.93,0.01
GB,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.86,0.02
NB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.99,0.0
SVM,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.47,0.05
LR,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.73,0.03
RF,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.93,0.0
GB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.85,0.02
NB,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.98,0.01
SVM,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.47,0.03
LR,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.74,0.03
RF,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.85,0.02
