algorithm,train_data_file,mean_f1,std_f1
GB,data/train/data_tc_2000_1_ 1_clean.pkl,0.9,0.01
NB,data/train/data_tc_1000_1_ 1_clean.pkl,0.93,0.01
SVM,data/train/data_tc_1000_1_ 1_clean.pkl,0.54,0.03
LR,data/train/data_tc_1000_1_ 1_clean.pkl,0.94,0.01
RF,data/train/data_tc_1000_1_ 1_clean.pkl,0.94,0.02
GB,data/train/data_tc_1000_1_ 1_clean.pkl,0.91,0.02
NB,data/train/data_tfidf_5000_2_ 3_clean_lemmatization.pkl,0.87,0.01
SVM,data/train/data_tfidf_5000_2_ 3_clean_lemmatization.pkl,0.53,0.04
LR,data/train/data_tfidf_5000_2_ 3_clean_lemmatization.pkl,0.73,0.03
RF,data/train/data_tfidf_5000_2_ 3_clean_lemmatization.pkl,0.79,0.02
GB,data/train/data_tfidf_5000_2_ 3_clean_lemmatization.pkl,0.75,0.04
NB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.93,0.01
SVM,data/train/data_tfidf_500_1_ 1_clean.pkl,0.52,0.03
LR,data/train/data_tfidf_500_1_ 1_clean.pkl,0.79,0.02
