algorithm,train_data_file,mean_balanced_accuracy,std_balanced_accuracy
SVM,"data/train_test/data_tfidf_800_(1, 3)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_800_(1, 3)_clean_steeming.pkl",0.88,0.04
RF,"data/train_test/data_tfidf_800_(1, 3)_clean_steeming.pkl",0.92,0.04
GB,"data/train_test/data_tfidf_800_(1, 3)_clean_steeming.pkl",0.92,0.03
NB,"data/train_test/data_tc_500_(1, 1)_clean_steeming.pkl",0.94,0.04
SVM,"data/train_test/data_tc_500_(1, 1)_clean_steeming.pkl",0.62,0.05
LR,"data/train_test/data_tc_500_(1, 1)_clean_steeming.pkl",0.94,0.04
RF,"data/train_test/data_tc_500_(1, 1)_clean_steeming.pkl",0.93,0.04
GB,"data/train_test/data_tc_500_(1, 1)_clean_steeming.pkl",0.92,0.04
NB,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming_lemmatization.pkl",0.88,0.03
SVM,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming_lemmatization.pkl",0.91,0.06
RF,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming_lemmatization.pkl",0.95,0.03
GB,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming_lemmatization.pkl",0.91,0.03
NB,"data/train_test/data_tf_800_(1, 3)_clean_steeming_lemmatization.pkl",0.95,0.03
SVM,"data/train_test/data_tf_800_(1, 3)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 3)_clean_steeming_lemmatization.pkl",0.91,0.05
RF,"data/train_test/data_tf_800_(1, 3)_clean_steeming_lemmatization.pkl",0.95,0.04
GB,"data/train_test/data_tf_800_(1, 3)_clean_steeming_lemmatization.pkl",0.9,0.04
NB,"data/train_test/data_tc_200_(1, 3)_clean_lemmatization.pkl",0.87,0.03
SVM,"data/train_test/data_tc_200_(1, 3)_clean_lemmatization.pkl",0.82,0.05
LR,"data/train_test/data_tc_200_(1, 3)_clean_lemmatization.pkl",0.93,0.05
RF,"data/train_test/data_tc_200_(1, 3)_clean_lemmatization.pkl",0.93,0.03
GB,"data/train_test/data_tc_200_(1, 3)_clean_lemmatization.pkl",0.92,0.04
NB,"data/train_test/data_tfidf_400_(1, 3)_clean_lemmatization.pkl",0.91,0.05
SVM,"data/train_test/data_tfidf_400_(1, 3)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_400_(1, 3)_clean_lemmatization.pkl",0.91,0.05
RF,"data/train_test/data_tfidf_400_(1, 3)_clean_lemmatization.pkl",0.94,0.04
GB,"data/train_test/data_tfidf_400_(1, 3)_clean_lemmatization.pkl",0.91,0.04
NB,"data/train_test/data_tc_200_(1, 2)_clean_steeming.pkl",0.88,0.02
SVM,"data/train_test/data_tc_200_(1, 2)_clean_steeming.pkl",0.82,0.07
LR,"data/train_test/data_tc_200_(1, 2)_clean_steeming.pkl",0.94,0.05
RF,"data/train_test/data_tc_200_(1, 2)_clean_steeming.pkl",0.93,0.05
GB,"data/train_test/data_tc_200_(1, 2)_clean_steeming.pkl",0.91,0.04
NB,"data/train_test/data_tfidf_400_(1, 3)_clean.pkl",0.91,0.03
SVM,"data/train_test/data_tfidf_400_(1, 3)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_400_(1, 3)_clean.pkl",0.89,0.05
RF,"data/train_test/data_tfidf_400_(1, 3)_clean.pkl",0.94,0.04
GB,"data/train_test/data_tfidf_400_(1, 3)_clean.pkl",0.9,0.07
NB,"data/train_test/data_tc_400_(1, 3)_clean_lemmatization.pkl",0.91,0.05
SVM,"data/train_test/data_tc_400_(1, 3)_clean_lemmatization.pkl",0.65,0.07
LR,"data/train_test/data_tc_400_(1, 3)_clean_lemmatization.pkl",0.94,0.05
RF,"data/train_test/data_tc_400_(1, 3)_clean_lemmatization.pkl",0.92,0.06
GB,"data/train_test/data_tc_400_(1, 3)_clean_lemmatization.pkl",0.91,0.05
NB,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.91,0.03
SVM,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.85,0.04
RF,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.93,0.04
GB,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.89,0.05
NB,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.89,0.04
SVM,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.91,0.04
RF,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.93,0.04
GB,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.9,0.04
NB,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.91,0.04
SVM,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.9,0.05
RF,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.92,0.06
GB,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.88,0.07
NB,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.96,0.03
SVM,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.52,0.02
LR,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.94,0.04
RF,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.93,0.04
GB,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.91,0.04
NB,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.95,0.02
SVM,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.9,0.06
RF,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.9,0.06
NB,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.9,0.04
SVM,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.88,0.06
RF,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.94,0.03
GB,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.92,0.04
NB,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.84,0.02
SVM,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.86,0.05
LR,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.92,0.04
RF,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.93,0.04
GB,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.94,0.02
NB,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.81,0.03
SVM,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.81,0.05
LR,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.89,0.04
RF,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.93,0.04
GB,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.94,0.03
NB,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.91,0.05
SVM,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.9,0.05
RF,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.93,0.03
GB,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.89,0.05
NB,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.91,0.04
SVM,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.91,0.04
RF,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.92,0.04
GB,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.88,0.07
NB,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.82,0.03
SVM,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.95,0.03
GB,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.92,0.04
NB,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.93,0.02
SVM,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.61,0.04
LR,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.89,0.04
NB,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.93,0.03
SVM,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.88,0.06
RF,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.92,0.06
GB,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.88,0.09
NB,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.85,0.04
SVM,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.91,0.05
RF,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.95,0.02
GB,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.92,0.05
NB,"data/train_test/data_tc_400_(1, 2)_clean_steeming.pkl",0.93,0.03
SVM,"data/train_test/data_tc_400_(1, 2)_clean_steeming.pkl",0.7,0.04
LR,"data/train_test/data_tc_400_(1, 2)_clean_steeming.pkl",0.94,0.06
RF,"data/train_test/data_tc_400_(1, 2)_clean_steeming.pkl",0.93,0.05
GB,"data/train_test/data_tc_400_(1, 2)_clean_steeming.pkl",0.92,0.06
NB,"data/train_test/data_tc_500_(1, 3)_clean_steeming.pkl",0.93,0.03
SVM,"data/train_test/data_tc_500_(1, 3)_clean_steeming.pkl",0.62,0.04
LR,"data/train_test/data_tc_500_(1, 3)_clean_steeming.pkl",0.93,0.04
RF,"data/train_test/data_tc_500_(1, 3)_clean_steeming.pkl",0.91,0.05
GB,"data/train_test/data_tc_500_(1, 3)_clean_steeming.pkl",0.9,0.05
NB,"data/train_test/data_tf_100_(1, 2)_clean.pkl",0.83,0.04
SVM,"data/train_test/data_tf_100_(1, 2)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_100_(1, 2)_clean.pkl",0.92,0.03
RF,"data/train_test/data_tf_100_(1, 2)_clean.pkl",0.93,0.03
GB,"data/train_test/data_tf_100_(1, 2)_clean.pkl",0.92,0.03
NB,"data/train_test/data_tfidf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.91,0.03
SVM,"data/train_test/data_tfidf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.05
RF,"data/train_test/data_tfidf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.92,0.04
GB,"data/train_test/data_tfidf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.91,0.04
NB,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming_lemmatization.pkl",0.93,0.02
SVM,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming_lemmatization.pkl",0.92,0.05
RF,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming_lemmatization.pkl",0.96,0.03
GB,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming_lemmatization.pkl",0.92,0.05
NB,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.93,0.06
SVM,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.88,0.05
RF,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.94,0.03
GB,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.89,0.05
NB,"data/train_test/data_tf_100_(1, 3)_clean.pkl",0.84,0.03
SVM,"data/train_test/data_tf_100_(1, 3)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_100_(1, 3)_clean.pkl",0.9,0.03
RF,"data/train_test/data_tf_100_(1, 3)_clean.pkl",0.94,0.03
GB,"data/train_test/data_tf_100_(1, 3)_clean.pkl",0.9,0.04
NB,"data/train_test/data_tc_100_(1, 3)_clean_steeming.pkl",0.84,0.03
SVM,"data/train_test/data_tc_100_(1, 3)_clean_steeming.pkl",0.88,0.07
LR,"data/train_test/data_tc_100_(1, 3)_clean_steeming.pkl",0.93,0.04
RF,"data/train_test/data_tc_100_(1, 3)_clean_steeming.pkl",0.92,0.05
GB,"data/train_test/data_tc_100_(1, 3)_clean_steeming.pkl",0.94,0.02
NB,"data/train_test/data_tfidf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.89,0.04
SVM,"data/train_test/data_tfidf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tfidf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.94,0.04
GB,"data/train_test/data_tfidf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.9,0.04
NB,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming.pkl",0.86,0.03
SVM,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming.pkl",0.91,0.05
RF,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming.pkl",0.94,0.04
GB,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming.pkl",0.9,0.05
NB,"data/train_test/data_tf_400_(1, 1)_clean_lemmatization.pkl",0.94,0.04
SVM,"data/train_test/data_tf_400_(1, 1)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_400_(1, 1)_clean_lemmatization.pkl",0.92,0.03
RF,"data/train_test/data_tf_400_(1, 1)_clean_lemmatization.pkl",0.96,0.02
GB,"data/train_test/data_tf_400_(1, 1)_clean_lemmatization.pkl",0.92,0.04
NB,"data/train_test/data_tc_500_(1, 2)_clean_steeming.pkl",0.95,0.03
SVM,"data/train_test/data_tc_500_(1, 2)_clean_steeming.pkl",0.63,0.07
LR,"data/train_test/data_tc_500_(1, 2)_clean_steeming.pkl",0.95,0.04
RF,"data/train_test/data_tc_500_(1, 2)_clean_steeming.pkl",0.94,0.05
GB,"data/train_test/data_tc_500_(1, 2)_clean_steeming.pkl",0.94,0.05
NB,"data/train_test/data_tc_400_(1, 1)_clean.pkl",0.92,0.03
SVM,"data/train_test/data_tc_400_(1, 1)_clean.pkl",0.61,0.06
LR,"data/train_test/data_tc_400_(1, 1)_clean.pkl",0.93,0.05
RF,"data/train_test/data_tc_400_(1, 1)_clean.pkl",0.94,0.06
GB,"data/train_test/data_tc_400_(1, 1)_clean.pkl",0.91,0.04
NB,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.93,0.04
SVM,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.94,0.04
GB,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.91,0.03
NB,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.89,0.02
SVM,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.91,0.04
NB,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.84,0.04
SVM,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.91,0.03
RF,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.94,0.05
GB,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.92,0.05
NB,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.83,0.05
SVM,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.9,0.04
RF,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.93,0.03
GB,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.9,0.06
NB,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.86,0.05
SVM,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.9,0.06
RF,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.93,0.04
GB,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.88,0.07
NB,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.9,0.05
SVM,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.92,0.06
RF,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.93,0.04
GB,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.93,0.05
NB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.92,0.04
SVM,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.57,0.03
LR,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.92,0.04
RF,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.93,0.04
GB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.89,0.04
NB,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.86,0.05
SVM,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.73,0.03
LR,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.91,0.03
RF,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.92,0.05
GB,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.92,0.05
NB,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.83,0.03
SVM,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.86,0.05
LR,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.92,0.04
GB,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.91,0.05
NB,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.89,0.03
SVM,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.03
RF,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.94,0.02
GB,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.91,0.04
NB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.94,0.04
SVM,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.59,0.04
LR,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.94,0.06
RF,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.93,0.04
GB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.92,0.06
NB,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.93,0.03
SVM,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.9,0.05
RF,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.92,0.05
GB,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.92,0.05
NB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.93,0.04
SVM,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.54,0.02
LR,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.92,0.05
GB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.91,0.04
NB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.95,0.02
SVM,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.53,0.02
LR,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.88,0.05
NB,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.94,0.03
SVM,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.94,0.03
GB,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.9,0.04
NB,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.96,0.02
SVM,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.9,0.05
RF,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.95,0.04
GB,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.89,0.04
