algorithm,train_data_file,mean_balanced_accuracy,std_balanced_accuracy
NB,"data/train_test/data_tf_800_(1, 3)_clean.pkl",0.95,0.03
SVM,"data/train_test/data_tf_800_(1, 3)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 3)_clean.pkl",0.89,0.06
RF,"data/train_test/data_tf_800_(1, 3)_clean.pkl",0.93,0.04
GB,"data/train_test/data_tf_800_(1, 3)_clean.pkl",0.86,0.06
NB,"data/train_test/data_tfidf_400_(1, 1)_clean_steeming.pkl",0.9,0.05
SVM,"data/train_test/data_tfidf_400_(1, 1)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_400_(1, 1)_clean_steeming.pkl",0.92,0.06
RF,"data/train_test/data_tfidf_400_(1, 1)_clean_steeming.pkl",0.93,0.05
GB,"data/train_test/data_tfidf_400_(1, 1)_clean_steeming.pkl",0.92,0.05
NB,"data/train_test/data_tf_800_(1, 1)_clean.pkl",0.95,0.02
SVM,"data/train_test/data_tf_800_(1, 1)_clean.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean.pkl",0.88,0.04
RF,"data/train_test/data_tf_800_(1, 1)_clean.pkl",0.92,0.04
GB,"data/train_test/data_tf_800_(1, 1)_clean.pkl",0.89,0.06
NB,"data/train_test/data_tc_500_(1, 1)_clean.pkl",0.92,0.04
SVM,"data/train_test/data_tc_500_(1, 1)_clean.pkl",0.56,0.05
LR,"data/train_test/data_tc_500_(1, 1)_clean.pkl",0.94,0.04
RF,"data/train_test/data_tc_500_(1, 1)_clean.pkl",0.94,0.04
GB,"data/train_test/data_tc_500_(1, 1)_clean.pkl",0.91,0.05
NB,"data/train_test/data_tf_800_(1, 1)_clean_steeming_lemmatization.pkl",0.93,0.04
SVM,"data/train_test/data_tf_800_(1, 1)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean_steeming_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tf_800_(1, 1)_clean_steeming_lemmatization.pkl",0.93,0.04
GB,"data/train_test/data_tf_800_(1, 1)_clean_steeming_lemmatization.pkl",0.88,0.05
NB,"data/train_test/data_tf_100_(1, 2)_clean_lemmatization.pkl",0.84,0.03
SVM,"data/train_test/data_tf_100_(1, 2)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_100_(1, 2)_clean_lemmatization.pkl",0.92,0.04
RF,"data/train_test/data_tf_100_(1, 2)_clean_lemmatization.pkl",0.92,0.03
GB,"data/train_test/data_tf_100_(1, 2)_clean_lemmatization.pkl",0.91,0.05
NB,"data/train_test/data_tfidf_200_(1, 1)_clean_lemmatization.pkl",0.87,0.03
SVM,"data/train_test/data_tfidf_200_(1, 1)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_200_(1, 1)_clean_lemmatization.pkl",0.91,0.05
RF,"data/train_test/data_tfidf_200_(1, 1)_clean_lemmatization.pkl",0.95,0.03
GB,"data/train_test/data_tfidf_200_(1, 1)_clean_lemmatization.pkl",0.9,0.05
NB,"data/train_test/data_tf_100_(1, 2)_clean_steeming.pkl",0.86,0.04
SVM,"data/train_test/data_tf_100_(1, 2)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tf_100_(1, 2)_clean_steeming.pkl",0.91,0.04
RF,"data/train_test/data_tf_100_(1, 2)_clean_steeming.pkl",0.93,0.04
GB,"data/train_test/data_tf_100_(1, 2)_clean_steeming.pkl",0.92,0.03
NB,"data/train_test/data_tf_800_(1, 2)_clean_steeming.pkl",0.96,0.02
SVM,"data/train_test/data_tf_800_(1, 2)_clean_steeming.pkl",0.5,0.0
LR,"data/train_test/data_tf_800_(1, 2)_clean_steeming.pkl",0.91,0.05
RF,"data/train_test/data_tf_800_(1, 2)_clean_steeming.pkl",0.94,0.04
GB,"data/train_test/data_tf_800_(1, 2)_clean_steeming.pkl",0.9,0.06
NB,"data/train_test/data_tfidf_100_(1, 2)_clean_steeming_lemmatization.pkl",0.86,0.03
SVM,"data/train_test/data_tfidf_100_(1, 2)_clean_steeming_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tfidf_100_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.06
RF,"data/train_test/data_tfidf_100_(1, 2)_clean_steeming_lemmatization.pkl",0.92,0.04
GB,"data/train_test/data_tfidf_100_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.05
NB,"data/train_test/data_tf_200_(1, 3)_clean_lemmatization.pkl",0.87,0.05
SVM,"data/train_test/data_tf_200_(1, 3)_clean_lemmatization.pkl",0.5,0.0
LR,"data/train_test/data_tf_200_(1, 3)_clean_lemmatization.pkl",0.91,0.04
RF,"data/train_test/data_tf_200_(1, 3)_clean_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tf_200_(1, 3)_clean_lemmatization.pkl",0.9,0.05
NB,"data/train_test/data_tfidf_800_(1, 3)_clean_steeming.pkl",0.9,0.04
